Country,Departments,Subject Name Automation hub,Purpose,Benefit per company (€/per year),Benefit per company (hours saved/year),Oneshot Benefit,Automation Hub Documentation,PHASE,Status,Is it a local process or could it be deployed to all subs ?,Date submitted,Link Automation Hub,Submitter,Collaborator
GERMANY,"Customer Experience,Sales",GER - SAL - Requesting SD-Statistics,"This process aims to automate the retrieval of SD statistics in SAP. These can either be recurring requests that are processed monthly or daily requests that can be initiated via a developed web interface.

PS: The Documentation is written in german, if you need more iformation don't hesitate to contact us.","€15,000.00",480 Hours Per Year,€0.00,Prozessdokumentation_SD-Statistiken abrufen.docx,Assessment,In Progress,Group,03/25/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/requesting-sd-statistics,Abdelaziz TEKAYA,Abdelaziz TEKAYA
DENMARK,MARKETING,DEN-SAL-DCT Pricing,"Hi,
We would like to add a price module for DCT . This is the project definition:
Data in eCat Tool – Commision Cost & Bottom price
RPA process – Daily task
Daily extractions from ZM011031 (MM-0045 file)
     The file should contain following columns:
Item number
Commision cost (Not visible in DCT)
Bottom Price (Not visible in DCT)
      Format: .xlsx
eCat Tool – URL: http://aalecllappprd01.lyreco.com:8080
User       credentials:
 dk.ibot@lyreco.com
      Lyreco_4000!
Local data
system-settings/local-data/storage/
Upload LocalData file to server
Import file
DIGITAL_CATALOG_TOOL:       ecatalogs/6576b9467307b05cf50609aa/
Regenerate",€750.00,24 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",03/24/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-sal-dct-pricing,Lars Christensen,"Lars Christensen, Nadja CHRISTENSEN, Jimmi PETERSEN"
SWITZERLAND,"Customer Service,Sales",CH - MKT - WebshopBanner,,,,,document,Idea,Awaiting Review,"Local, and maybe Group",03/05/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/ch-mkt-webshopbanner,Francesco SONETTO,Francesco SONETTO
DENMARK,Quality,DEN-QSS-Automation of CO2e-tool update,That updates of the CO2e-tool is run autmatically instead of manually every 2 to 4 weeks,"€1,875.00",60 Hours Per Year,€0.00,Book1.pdf,Assessment,Not Started,Local,02/26/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-qss-automation-of-co2e-tool-update,Christoffer SLOTH,"Christoffer SLOTH, Lars Christensen"
ITALY,IT,IT - MKT - pricing ZM003007 download,"Our mkt and replenishment department needs to download the list of products for each individual supplier from SAP (ZM003007) several times a year.
Once the files have been consolidated into a single csv file, they are processed by hand and in a subsequent automation (to be defined) they will be bolted and loaded back into sap. 
We took inspiration from Wouter's ""BNL - MKT - Pricing ZM003007 Mass Download"" automation and adapted it to our local needs.","€6,000.00",192 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",02/24/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/it---mkt-princing,Carlo Milia,"Carlo Milia, Cristina MEREGALLI, Luca Farina"
SWEDEN,Customer Unique Specialist,SWE - SC - Return HUD,"I like development and everything you can do with AI and programming, so I had an idea. A HUD-like thing in gaming terms. Heads-up display. Or augmented reality if you prefer. An extra monitor with this new software that automatically pulls up information for me based on what I'm doing on another screen.
Consider this example:
I enter an order number for an order in SAP that has been returned from the post.
On the second monitor, I then get information directly from the PostNord portal about all the parcels returned or just the one in front of me.
On the same monitor, I also get information on whether the parcel contains special order items (which need to be handled differently) and whether it contains hazardous materials. None of this can be seen directly in SAP.
I also want to get the invoice number for the order without having to go into the document flow.
That would significantly ease my daily work. This is just one example out of thousands of possibilities.
In that HUD, you could divide the use cases into different parts of the building/company. Returns need one variant. Replenishment, goods receipt, full-case, customer service, purchasing, etc., need another. What information is relevant for the specific department you are in. But if you create a stable, broad base platform with different modules or whatever you call it, we would have a fantastic tool to streamline the work EVERYONE does.","€18,750.00",600 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,02/18/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---sc---return-hud,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - Sales - Email SLA Sales Operations,"Brief Description: Automatically count the number of emails received and handled from a shared inbox (kundregister.SE@lyreco.com) in Outlook.
Report 1 - Number of Cases: (Sent once per day at 23:00)
Need to have: Counts the number of emails received per day.
Need to have: Counts the number of emails handled per day.
Need to have: Counts the number of emails each person has handled based on category (color) per day.
Nice to have: Does not count emails that are replies based on the subject. If the subject is the same, the case is counted as 1.
Nice to have: Counts the number of emails required to meet the SLA for the next day (both account applications and changes).
Report 2 - SLA: (Option 1 - Monitor SLA in real-time) (Option 2 - Monitor SLA with reports sent twice per day at 12:00 and 23:00)
Need to have: How many emails are left to meet our SLA goals.
SLA Levels:
Account Applications: 24 hours, added to the Account Application category/color.
Changes: 36 hours, not added to a category/color.
Day: Account Applications: Changes:
Monday = none from Friday none from Thursday
Tuesday = none from Monday none from Friday
Wednesday = none from Tuesday none from Monday
Thursday = none from Wednesday none from Tuesday
Friday = none from Thursday none from Wednesday
I can explain more about the SLA levels if the above is unclear. 😊","€7,500.00",240 Hours Per Year,€0.00,document,Assessment,Awaiting Review,"Local, and maybe Group",02/18/2025,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---sales---email-sla-sales-operations,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
FRANCE,Marketing,FR - MKT - Loading declaration of conformity data sheets into STEP,automated déclaration of conformity data sheets into the Lyreco corporate tool.,"€1,125.00",36 Hours Per Year,€0.00,Processus de chargement en masse des déclarations de conformité dans STEP.docx,Assessment,In Progress,"Local, and maybe Group",12/20/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/fr---mkt---loading-declaration-of-conformity-data-sheets-into-step,Valentin GUERIN,Valentin GUERIN
FRANCE,Marketing,FR - MKT - Loading size chart sheets into STEP,automated size chart sheets into the Lyreco corporate tool.,"€1,125.00",36 Hours Per Year,€0.00,Processus de chargement en masse des tableau des tailles SC dans STEP.docx,Assessment,Not Started,"Local, and maybe Group",12/20/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/fr---mkt---loading-size-chart-sheets-into-step,Valentin GUERIN,Valentin GUERIN
FRANCE,Marketing,FR - MKT - Loading technical sheets into STEP,automated loading of technical sheets into the Lyreco corporate tool.,"€1,125.00",36 Hours Per Year,€0.00,Processus de chargement en masse des fiches technique dans STEP.docx,Assessment,Not Started,"Local, and maybe Group",12/19/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/fr---mkt---loading-technical-sheets-into-step,Valentin GUERIN,Valentin GUERIN
FRANCE,Marketing,FR - MKT - Loading instructions for use into STEP,automated instructions for use data sheets into the Lyreco corporate tool.,"€1,125.00",36 Hours Per Year,€0.00,Processus de chargement en masse des fiches d'utilisations dans STEP.docx,Assessment,Not Started,"Local, and maybe Group",12/19/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/fr---mkt---instructions-for-use-into-step,Valentin GUERIN,Valentin GUERIN
DENMARK,MARKETING,DEN-LOG-Direct delivery,We would like the BOT to fecth the list and send it to the departments in charge of the open issues,€562.50,18 Hours Per Year,€0.00,direkte leveringer cs.xls,Assessment,Not Started,Local,12/19/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-log-direct-delivery,Lars Christensen,"Lars Christensen, Ditte-Maria Skaarup RASMUSSEN"
DENMARK,Quality,DEN-QSS-Check of Hazard-sentences ,To Check if there is Hazard sentences on a product safety sheet. the BOT needs to recognize the red square with different Hazard sentences,"€1,000.00",32 Hours Per Year,€0.00,document,Qualification,Awaiting Review,"Local, and maybe Group",12/11/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/denqsstjekaffarestninger,Christoffer SLOTH,"Christoffer SLOTH, Lars Christensen"
SWEDEN,Customer Unique Specialist,SWE - MKT - Add certifications in Item Creation Tool,"When an item to be created in the Item Creation Tool is certified, the process should automatically populate the form within the tool. The certifications are stored in structured data.","€22,500.00",720 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,11/21/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/add-certifications-in-item-creation-tool,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - SC - Automate Region Quotas in Netshop Admin (Carlsberg),"Check for returns on Carlsberg orders and adjust the region limit to match the actual stock quantity in Netshop Admin.
Check total value of ""Used"" against Stock and increase the limit equally.","€1,875.00",60 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,11/21/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/automate-region-quotas-in-netshop-admin--carlsberg-,SVÄRD Peter,SVÄRD Peter
DENMARK,"Customer Service,Coffee Services",DEN-CS-HIERARCHY LINK,Is it possible to make a robot which links accounts to hierachies or change from one hiearchy to another? ,"€18,750.00",600 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",11/13/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-cs-hierarchy-link,Melissa Anja MUNKEDAL,"Melissa Anja MUNKEDAL, Lars Christensen"
GROUP,Finance,GRP - FIN - CM figures extraction form SAP,"AR (accounts Receivables) Ageing reporting purposes:
Consolidated monthly reporting
Daily ageing extraction for local CM teams
Allows credit manager to have easier and faster access to numbers for analysis
Faster data extraction
Potential to report results almost 10 days faster
Monitoring daily debt level
Worklist for collectors and credit analysts
","€375,000.00",12000 Hours Per Year,€0.00,document,Assessment,Not Started,Group,10/29/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cm-figures-extraction-form-sap,Lev PAVLYSHYN,Lev PAVLYSHYN
POLAND,"Customer Service,Sales",POL - FIN - Payers blocking,"I make a proposal to create a bot that would automatically (according to the guidelines) block payers.
We have been regularly blocking and then unblocking a list of 19 payers every month for several years with invoicing up to 25.",€112.50,3.6 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",10/16/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/payers-blocking,Magdalena MAKUCH,"Magdalena MAKUCH, Thomas DELOS"
DENMARK,MARKETING,DEN-P&C-Upload of approved contracts,"We would like a bot, that can upload signed contracts in an archive",€750.00,24 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",10/14/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/denpcuploadofapprovedcontracts,Lars Christensen,Lars Christensen
FRANCE,IS,FR - FIN - E-Attestations,"This involves sending individual e-mails to each supplier generating over €5,000 in sales to obtain 3 separate attestations. 

These e-mails are reminders, and the list of suppliers is extracted from a website (e-attestations) in the form of an Excel file. Manual processing time is 5 days per month. 

Each e-mail must be specific to the missing attestation, and requires the addition of 1 or 2 Excel files.

it's Legal project :)
","€52,500.00",1680 Hours Per Year,€0.00,document,Assessment,Not Started,Local,10/04/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/fr---fin-e-attestations,Julien PICQUET,Julien PICQUET
DENMARK,Marketing,DK-MKT-Step 0 in SA pricing,Automatic update of tabs in Step 0 in SA pricing.,"€9,000.00",288 Hours Per Year,€0.00,document,Assessment,Not Started,Local,10/02/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/dk---mkt---step-0-i-sa-pricing,Danny PEDERSEN,"Danny PEDERSEN, Lars Christensen"
SWEDEN,Customer Unique Specialist,SWE - CS - Open Orders,The bot checks purchase orders in Open Orders Report then emails the supplier to get more info.,"€30,000.00",960 Hours Per Year,€0.00,document,Idea,Duplicate,Local,10/01/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---open-orders,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - BA - V.10 Agreement import ,Business Analytics dept wants a bot that compiles the preliminary work of reading the v.10 file. There are many emails and large Excel files that need to be opened.,"€15,000.00",480 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---ba---v-10-agreement-import-,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - FD - Block List,"Finance dept want a bot to release customer order from the ""block list"", meaning the customer have exeeded their credit limit. ",€0.00,0 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---fd---block-list,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - FD - Setting Customer Limits (post migration Netshop),"We would like to investigate if the RPA bot can set limits on customers after the migration on December 1st in FD32.
We think that since all first purchases by customers go through Klarna (Billie), they are approved with BankID, so there is no fraud.
UC has time to make an evaluation before the next purchase comes, so we have fresh data in FD32. Only then will the customer be offered a Lyreco invoice.
We have a set of rules for customers with a rating of 3-5, which we set limits based on. For example, -30-20-10 thousand that the bot can follow.
We avoid manually handling those customers on the blacklist due to the low limit of 1500 that all customers get as a start and thus avoid setting a manual limit ourselves at the second purchase.
It is easy to set the rules as it should only happen if there is a rating from UC of 3-5 and a fresh date, i.e., within a few months.",€0.00,0 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---fd---setting-customer-limits--post-migration-netshop-,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - PM - Update search words (ZBOM) ,"Product Merchandising wants a bot to check for specific search words connected to ZBOMS.
If a vital search word is missing the will update the connected search words. ",€0.00,0 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---pm---update-search-words--zbom--,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - PM - Material visible Netshop,"Product Merchandising want a bot to find active but not visible materials in Netshop. 
Often the materials have bin removed from thier grouping and not regrouped.",€0.00,0 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---pm---material-visible-netshop,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - FD - Invoice Copy,Finance wants a bot for sending Invoice copys to customers.,"€7,500.00",240 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---fd---invoice-copy,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - PM - Search Words Oulet,"CSS dept wants a bot to update the different categories in lyrecocontract.com, specifik main category Outlet.
There are 3 sub categories in Outlet and materials change subcategory each month. Input is Excel.","€1,125.00",36 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---pm---search-words-oulet,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - PM - Campaign Prices Import Tool,"Product Merchandising wants a bot to update campaign prices in SAP, monthly and quarterly. 
",€862.50,27.6 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---pm---campaign-prices-import-tool,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
DENMARK,Quality,DEN-QSS-Mail to multiple suppliers,"When sending a mail to multiple suppliers, make it lookup their name and split excel files to send the mail to multiples mails at once, with correct perosnal names and excel document",€250.00,8 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",09/20/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-qss-mail-to-multiple-suppliers,Christoffer SLOTH,"Christoffer SLOTH, Lars Christensen"
POLAND,"Customer Service,Coffee Services",POL - CC - New Customer Onboarding process,"Request for a new web account has arrived via the web shop and has been submitted as a ticket to the Customer Care team.
The process reads the ticket, prepares the information in an app and waits for approval from the Customer Care employee. 
If the registration is rejected, the customer would receive an email notification of the failed registration. As soon as approval is granted, the account is added to SAP, the webshop login is created and the end ticket is closed with a reply to the customer.","€15,000.00",480 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",09/19/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/pol-cc-new-customer-onboarding-process,Katarzyna WISNIEWSKA,Katarzyna WISNIEWSKA
DENMARK,Quality,DEN-QSS-GWPupdate new products,Update our GWP/co2 data with new products,"€1,125.00",36 Hours Per Year,€0.00,document,Assessment,Not Started,Local,09/19/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-qss-gwpupdate-new-products,Christoffer SLOTH,"Christoffer SLOTH, Lars Christensen"
