Country,Departments,Subject Name Automation hub,Purpose,Benefit per company (€/per year),Benefit per company (hours saved/year),Oneshot Benefit,Automation Hub Documentation,PHASE,Status,Is it a local process or could it be deployed to all subs ?,Date submitted,Link Automation Hub,Submitter,Collaborator
CASH,IS,CASH - CS - Data Control - Submission Check,This process creates within SAP a report of submitted documents and a report of disputed documents within a week's span and inputs these documents into an existing Excel report,"€2,812.50",90 Hours Per Year,€0.00,Submission Check PDF,Live,In Production,Local,10/28/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/cash---cs---data-control---submission-check,Eduard SEKERES,Eduard SEKERES
BENELUX,IT,BNL - MKT - MM0045 clean and upload in sharepoint,"Daily check for MM0045 file in public folder.
If found, upload the pricing date in MKT sharepoint in XLSB format.
If Pricing date < 2 days, upload it in TXT format for Data Analysts team","€3,750.00",120 Hours Per Year,€0.00,document,Live,In Production,Local,10/25/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---mkt---mm0045-clean-and-upload-in-sharepoint,Benoit Duchesne,Benoit Duchesne
BENELUX,IT,BNL - MKT - Pricelist Preparation,"Local workflow used to generate pricelists for internal use based on a master data source file.
Manual execution of this task was done on a monthly basis and would cost the PO almost a full working day. Given that the automation only needs a few minutes to generate this list, the frequency of this process can be increased as well.

The script will run on a weekly basis and generate new pricelists based on the most recent version of the master data source file. The workflow will transform and modify the source data based on the required filters & columns of the designated price lists.

In the current version the workflow generates the following pricelists:
- Corporate Purchase prices (SVC)
- Corporate Purchase prices (CCP)
- PPE Pricelist (SVC)
- PPE Pricelist (CCP)
- Public Pricelist (PP)

The process also comes with a linked Studio Cloud workflow that will serve the dual purpose of a scheduled trigger for this workflow as well as an archiving tool.

A weekly scheduled trigger will launch the Studio Cloud workflow (@ various times depending on the pricelist), which will in its turn launch this workflow. Once this workflow is finished and the requested lists have been generated, the Studio Cloud workflow will continue by fetching last week's generated file(s) in the designated SharePoint folder(s) and archiving it/them.
In the unlikely event of a failure the archival will not be done, in order to ensure the most recent version of the tool remains available to the commercial colleagues.","€15,000.00",480 Hours Per Year,€0.00,document,Live,In Production,Local,10/25/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl-mkt-pricelist-preparation,Wouter Herrrygers,Wouter Herrrygers
BENELUX,IT,"BNL - CS - Delete backorder lines, key in alternative",Replace backorders (delisted or not) with an user-choosen alternative,"€6,000.00",192 Hours Per Year,€0.00,,Live,In Production,,10/25/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---cs---delete-backorder-lines-key-in-alternative,Benoit Duchesne,Benoit Duchesne
DENMARK,Customer Service,DEN-CS-JOHNSON_CONTROLS-PO,Automating order entry using RPA,"€2,250.00",72 Hours Per Year,€0.00,document,Live,In Production,"Local, and maybe Group",10/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-cs-johnson-controls-po,Ditte-Maria Skaarup RASMUSSEN,"Ditte-Maria Skaarup RASMUSSEN, Lars Christensen"
BENELUX,IT,BNL - LOG - [ATTENDED] Bpost Label creation,"Sales Tender from 8 years.  Every package must have a Bpost label on it.  800 Packages / week.
Saving if delivered on central place : 80k yearly","€30,000.00",960 Hours Per Year,€0.00,document,Live,In Production,Local,10/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnllogattendedbpostlabelcreation,Benoit Duchesne,Benoit Duchesne
BENELUX,IT,BNL - GEN - External Shared File WebV2,"Local script used on a daily basis. Several files are shared with external partners but this can only be done on a temporary basis. Instead of having to manually reshare the file every so often, we have created a list in which the file and designated directory can be listed. The script will iterate through this list and reshare the file automatically so that the URL remains valid.

V1 was created in UiPath Studio but had to be refactored often due to the lay out of the SharePoint page changing frequently.

 V2 is a Studio Cloud workflow which can carry out these actions irrespective of the lay-out of the page, which has simplified the process significantly.","€1,500.00",48 Hours Per Year,€0.00,document,Live,In Production,Local,10/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl-gen-external-shared-file-webv2,Wouter Herrrygers,Wouter Herrrygers
BENELUX,IT,BNL - CS ISF - Communicate daily backorder list,Get data from Data Analyst team (SAP + M3 data) and create emails for sending to customers,"€9,000.00",288 Hours Per Year,€0.00,document,Live,In Production,Local,10/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---cs-isf---communicate-daily-backorder-list,Benoit Duchesne,Benoit Duchesne
BENELUX,IT,BNL - P&C - Personnels accounts creation in SAP - Personnal use,"Every Lyreco Employee can request an Personnal use account to buy from our Webshop.
P&C decided to create those accounts on a monthly basis, from an Workday Extract.",€375.00,12 Hours Per Year,€0.00,document,Live,In Production,Local,10/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnlpcpersonnelsaccountscreationinsappersonnaluse,Benoit Duchesne,Benoit Duchesne
BENELUX,IT,BNL - MKT - Delisted Items DB Update,Update based on a MM0045 in a Sharepoint list to be used by a MS PowerApps for delisting actions and communications,"€1,875.00",60 Hours Per Year,€0.00,document,Live,In Production,Local,10/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---mkt---delisted-items-db-update,Benoit Duchesne,Benoit Duchesne
BENELUX,IT,BNL - GEN - OneShot - Tender Data Preparation/Split,"Request from the local Products & Services team.

A large batch of data for a local tender needed to be formatted and split up in an Excel file per unique reference.
Doing this manually would require a colleague to repeate the  same 30-40 steps for hundreds of products.

Instead a oneshot script was written to automate this process.
The UiPath workflow will read the source data, iterate through the entire batch per unique reference, open the template, fill in the required fields, save the file with a unique ID and upload it to a specific SharePoint folder.

This is a oneshot request. The robot will most likely not be triggered periodically.",€0.00,0 Hours Per Year,€250.00,document,Live,In Production,Local,10/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---gen---oneshot---tender-data-preparationsplit,Wouter Herrrygers,Wouter Herrrygers
BENELUX,IT,BNL - CS - Update Webshop users - SCHOOLS Team ,Update webshop userlist for schools.  Used in MS automation (Forms / Flows / PowerApps) to update and send webshop userlists to customers during school campaign,"€1,500.00",48 Hours Per Year,€0.00,document,Live,In Production,Local,10/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---cs---update-webshop-users---schools-team-,Benoit Duchesne,Benoit Duchesne
BENELUX,IT,BNL - CS - Update route code in Orders,Change route code in orders to make them delivered by other subcontractors or RDC,"€15,000.00",480 Hours Per Year,€0.00,document,Live,In Production,Local,10/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---cs---update-route-code-in-orders,Benoit Duchesne,Benoit Duchesne
BENELUX,IT,BNL - CS - Change price date in Order,"Change the Pricing date in orders, in case the contract must be changed mid in the month",€500.00,15.99999999999999999999999999999999999999999999999999999999999999 Hours Per Year,€0.00,document,Live,In Production,Local,10/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---cs---change-price-date-in-order,Benoit Duchesne,Benoit Duchesne
BENELUX,IT,BNL - FI - SupInv Post Processing & Archiving,"Local workflow used to rename and archive PDF invoices that have been processed by the local supplier invoicing robots.
The script will run on a daily basis. The script opens the supplier invoicing work file, filters on all documents that have been processed and detects the directory in which the PDF invoices are currently saved.

The script will rename the files so that the filename contains relevant details such as the Purchase Order number, the invoice number, the supplier code and the date of processing. This ensures that the operational colleagues can easily detect and retrieve the correct invoices should they ever need to do extra checks after the encoding.","€7,500.00",240 Hours Per Year,€0.00,L RPA SUPPLIERINVOICING - Process Documentation.pdf,Live,In Production,Local,10/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnlfisupinvpostprocessingarchiving,Wouter Herrrygers,Wouter Herrrygers
BENELUX,IT,BNL - CS - Cancel Orderlines and key in Alternatives,"Cancel items in Customer orders, and key in an alternative if requested","€7,500.00",240 Hours Per Year,€0.00,document,Live,In Production,Local,10/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---cs---cancel-orderlines-and-key-in-alternatives,Benoit Duchesne,Benoit Duchesne
BENELUX,IT,BNL - LOG - Goods In Disputes DB,Part of the Goods In Dispute project based on MS PowerApps.  Need SAP data in Sharepoint lists to make easy key in possible,"€2,250.00",72 Hours Per Year,€0.00,document,Live,In Production,Local,10/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---log---goods-in-disputes-db,Benoit Duchesne,"Benoit Duchesne, Vincent Delhez"
BENELUX,IT,BNL - LOG - [ATTENDED] DHL Label creation,Create shipping label based on SU number from box,"€26,250.00",840 Hours Per Year,€0.00,DHL Process.jpg,Live,In Production,Local,10/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---log---dhl-label-creation,Benoit Duchesne,Benoit Duchesne
BENELUX,IT,BNL - LOG - Intrastat Import Correct Supplier PO's,"Based on MKT response, update Intrastat and Weight fields.
Other issues must be done manually (Origin of goods, Invoice Value, ...)","€9,750.00",312 Hours Per Year,€0.00,document,Live,In Production,Local,10/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---intrastat-import-correct-supplier-pos,Benoit Duchesne,Benoit Duchesne
BENELUX,IT,BNL - FI - Intrastat Import preparation,"Get all lines on Supplier PO's that have missing details.
Gather all needed info so that Marketing can fill in the missing values.",€375.00,12 Hours Per Year,€0.00,document,Live,In Production,Local,10/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl---intrastat-import-preparation,Benoit Duchesne,Benoit Duchesne
FRANCE,IS,FR - MKT - Pcon planner render automation,"Pcon is a 3D modeling tool for office furniture. When a customer places a large order, we send them a 3D model of their office so that they can make their own plans. Today, when the MKT designer takes care of the rendering to deliver images to the customer, it takes a very long time, between 30 minutes and 8 hours to generate 1 image, and it takes about 10 per project. The aim is to generate everything on a single powerful machine so as to have a queue and not block users in their work.
","€63,000.00",2016 Hours Per Year,€0.00,document,Live,In Production,Local,10/17/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/pcon-planner-render-automation,Julien PICQUET,Julien PICQUET
POLAND,"Customer Service,Sales",POL - FIN - Payers blocking,"I make a proposal to create a bot that would automatically (according to the guidelines) block payers.
We have been regularly blocking and then unblocking a list of 19 payers every month for several years with invoicing up to 25.",€112.50,3.6 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",10/16/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/payers-blocking,Magdalena MAKUCH,"Magdalena MAKUCH, Thomas DELOS"
DENMARK,MARKETING,DEN-P&C-Upload of approved contracts,"We would like a bot, that can upload signed contracts in an archive",€750.00,24 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",10/14/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/denpcuploadofapprovedcontracts,Lars Christensen,Lars Christensen
GROUP,Finance,GRP - FIN - Local file automatisation,We are looking to automate the transfer pricing documentation that we prepare each year for all the Group's subsidiaries (around 30 documentations). We have discussed with several providers who have offered solutions around 50K annually. We would like to delegate the non-value-added part to a robot and focus on analyzing these documentations in order to improve efficiency.,"€8,906.25",285 Hours Per Year,€0.00,document,Assessment,Archived,Group,10/11/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/local-file-automatisation,Stephanie WROBLEWSKI,Stephanie WROBLEWSKI
FRANCE,IS,FR - FIN - E-Attestations,"This involves sending individual e-mails to each supplier generating over €5,000 in sales to obtain 3 separate attestations. 

These e-mails are reminders, and the list of suppliers is extracted from a website (e-attestations) in the form of an Excel file. Manual processing time is 5 days per month. 

Each e-mail must be specific to the missing attestation, and requires the addition of 1 or 2 Excel files.

it's Legal project :)
","€52,500.00",1680 Hours Per Year,€0.00,document,Assessment,Not Started,Local,10/04/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/fr---fin-e-attestations,Julien PICQUET,Julien PICQUET
FRANCE,Marketing,FR - MKT - Analysis and monitoring of anomalies between marketing tools and SAP,the aim is to be able to spot anomalies as quickly as possible in the marketing database,"€7,500.00",240 Hours Per Year,€0.00,"Ticket EASY Vista.docx,Extraction MM45.docx,Extraction Bible France.docx,Documentation fichier de contrôle .docx",Assessment,Rejected,Local,10/03/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/fr---mkt---analysis-and-monitoring-of-anomalies-between-marketing-tools-and-sap,Valentin GUERIN,Valentin GUERIN
DENMARK,Marketing,DK-MKT-Step 0 in SA pricing,Automatic update of tabs in Step 0 in SA pricing.,"€9,000.00",288 Hours Per Year,€0.00,document,Assessment,Not Started,Local,10/02/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/dk---mkt---step-0-i-sa-pricing,Danny PEDERSEN,"Danny PEDERSEN, Lars Christensen"
GROUP,IS,GRP - IS - Mass homepage upload,"Hello,

Since July 2024 Marketing France is doing marketing campains for around 30.000 customers each month.
They ask us (the webshop support team) to upload specific homepages for these customers.
The homepages can be changed several times a month (we did it 4 times in July due to product stocks etc).
This type of campain will be permanent, and done at least once a month.

At the moment, our tool Edito only permit to upload homepage one by one, it takes 2 to 5 min to upload one homepage for one customer, so it is very time consuming (or impossible) for 30k customers : 
We need to enable specific parameters in SAP in the customer acount and also upload the wanted file is Edito.

On the webshop support side we did a tempary process to facilitate the mass upload, but it bypass the habitual Edito process and is not secured as if it was done with Edito (no error feedback or file checking)
Managing these requests in mass with our process takes about 2 hours in SAP and 2 hours to upload the file in the share hecom database.

The aim of this idea is to permit key users that have acces to Edito to be autonomous to mass upload the homepages for a given list of customers.
The best solution would be to automize the manual upload of homepage for a list of customers, for SAP and Edito.
The manual process can be found in this link :
https://lyrecomanagement.atlassian.net/wiki/spaces/WEBSHOP/pages/185237767/Manual+homepage+upload+via+Edito

This could be valuable to the whole group and increase sales.

Best regards.","€375,000.00",12000 Hours Per Year,€0.00,document,Analysis,On Hold,Group,10/02/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/mass-homepage-upload,Cyril BAUDUIN,Cyril BAUDUIN
BENELUX,IT,BNL - FI - Intersafe Supplier Invoicing Integration,"In Benelux we have been using a combination of OCR and RPA solutions in order to automatically process the incoming invoices of a selection of suppliers for a few years. The impact of this automated process is very large as it saves the operational colleagues a significant amount of time that no longer needs to be spent on manually processing and encoding all of these invoices in our SAP ERP environment. On top of that, the solution uses an extensive exception handling in order to guarantee that its actions are always as compliant and accurate as possible.

As a part of the integration of Intersafe suppliers in our ERP environment, a request was made whether this automated invoicing solution could be set up for a selection of high volume ISF suppliers as well. The premise and needs are similar, but the set-up and specifics of these PPE suppliers can slightly vary from the current scope of the robot. (E.g.: articles that have the same VMN but are still different due to a different size of the product, etc.).

In order to be able to integrate these new suppliers in the scope of the robot, additional development will need to be done on the scripts. On the OCR front new templates will need to be made as well in order to be able to correctly detect and transform the relevant PDF invoice details of these new suppliers.

Estimate is that these suppliers encompass a yearly volume of around 80K-100K invoice lines. If a portion of this volume can be processed automatically, the impact of it will be significant as well.
","€114,000.00",3648 Hours Per Year,€0.00,document,Live,In Production,Local,10/02/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/bnl-fi-intersafe-supplier-invoicing-integration,Wouter Herrrygers,Wouter Herrrygers
SWEDEN,Customer Unique Specialist,SWE - CS - Open Orders,The bot checks purchase orders in Open Orders Report then emails the supplier to get more info.,"€30,000.00",960 Hours Per Year,€0.00,document,Idea,Duplicate,Local,10/01/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---open-orders,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
DENMARK,Marketing,DEN-MKT-Flow for Trade Planner,"Vi arbejder i skyen i forvejen, men WISE har ikke goder erfaringer med at finde historik frem når dokumentet går i stykker.
Hvorfor skal jeg bruge backup hver 2 time:
Fordi at det er et tungt Excel dokument på en 28-30 MB hvor mange (op til 12 personer) skal arbejde i samtidig løbende. WISE har dog op til 25 personer.
Så jeg har brug for et flow hvor den tager backup hver anden time i arbejdstiden, og så sletter dem løbende hver uge eller hver anden uge, hvis man kan. Men det var det Emil ville kigge på, hvis du afsætter noget tid til ham.
Det kan også være et helt andet setup, det vigtigste er at vi har let adgang tid tidligere versioner hvis det går ned",€750.00,24 Hours Per Year,€0.00,document,Live,In Production,Local,09/30/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/flow-med-microsoft-power-automate---til-trade-planner,Jimmi PETERSEN,"Jimmi PETERSEN, Lars Christensen"
DENMARK,Sales,DEN-SAL-DELEVERY FEE FOR NEWBUISS,"Delevery fee for non-stock products, in this specifik case glass bottels directly from Unibrew.  ","€7,500.00",240 Hours Per Year,€0.00,document,Solution Design,In Progress,"Local, and maybe Group",09/27/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-sal-deleveryfee-for-newbuiss,Lisa Van Urk JANSEN,"Lisa Van Urk JANSEN, Lars Christensen"
FRANCE,IS,FR - SC - SSL & Penalities calculation,Management of SSL & Penalties calculation at France level. ,"€15,000.00",480 Hours Per Year,€0.00,document,Live,In Production,Group,09/25/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/sslpenalitiescalculation,Aline TURPIN,"Aline TURPIN, Vincent Furic, Bruno Bastin, Dimitri Degroise"
SWEDEN,Customer Unique Specialist,SWE - BA - V.10 Agreement import ,Business Analytics dept wants a bot that compiles the preliminary work of reading the v.10 file. There are many emails and large Excel files that need to be opened.,"€15,000.00",480 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---ba---v-10-agreement-import-,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - FD - Block List,"Finance dept want a bot to release customer order from the ""block list"", meaning the customer have exeeded their credit limit. ",€0.00,0 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---fd---block-list,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - FD - Setting Customer Limits (post migration Netshop),"We would like to investigate if the RPA bot can set limits on customers after the migration on December 1st in FD32.
We think that since all first purchases by customers go through Klarna (Billie), they are approved with BankID, so there is no fraud.
UC has time to make an evaluation before the next purchase comes, so we have fresh data in FD32. Only then will the customer be offered a Lyreco invoice.
We have a set of rules for customers with a rating of 3-5, which we set limits based on. For example, -30-20-10 thousand that the bot can follow.
We avoid manually handling those customers on the blacklist due to the low limit of 1500 that all customers get as a start and thus avoid setting a manual limit ourselves at the second purchase.
It is easy to set the rules as it should only happen if there is a rating from UC of 3-5 and a fresh date, i.e., within a few months.",€0.00,0 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---fd---setting-customer-limits--post-migration-netshop-,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - PM - Update search words (ZBOM) ,"Product Merchandising wants a bot to check for specific search words connected to ZBOMS.
If a vital search word is missing the will update the connected search words. ",€0.00,0 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---pm---update-search-words--zbom--,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - PM - Material visible Netshop,"Product Merchandising want a bot to find active but not visible materials in Netshop. 
Often the materials have bin removed from thier grouping and not regrouped.",€0.00,0 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---pm---material-visible-netshop,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - FD - Invoice Copy,Finance wants a bot for sending Invoice copys to customers.,"€7,500.00",240 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---fd---invoice-copy,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - PM - Search Words Oulet,"CSS dept wants a bot to update the different categories in lyrecocontract.com, specifik main category Outlet.
There are 3 sub categories in Outlet and materials change subcategory each month. Input is Excel.","€1,125.00",36 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---pm---search-words-oulet,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - PM - Campaign Prices Import Tool,"Product Merchandising wants a bot to update campaign prices in SAP, monthly and quarterly. 
",€862.50,27.6 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/23/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---pm---campaign-prices-import-tool,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
DENMARK,Quality,DEN-QSS-Mail to multiple suppliers,"When sending a mail to multiple suppliers, make it lookup their name and split excel files to send the mail to multiples mails at once, with correct perosnal names and excel document",€250.00,8 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",09/20/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-qss-mail-to-multiple-suppliers,Christoffer SLOTH,"Christoffer SLOTH, Lars Christensen"
POLAND,"Customer Service,Coffee Services",POL - CC - New Customer Onboarding process,"Request for a new web account has arrived via the web shop and has been submitted as a ticket to the Customer Care team.
The process reads the ticket, prepares the information in an app and waits for approval from the Customer Care employee. 
If the registration is rejected, the customer would receive an email notification of the failed registration. As soon as approval is granted, the account is added to SAP, the webshop login is created and the end ticket is closed with a reply to the customer.","€15,000.00",480 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",09/19/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/pol-cc-new-customer-onboarding-process,Katarzyna WISNIEWSKA,Katarzyna WISNIEWSKA
DENMARK,Quality,DEN-QSS-GWPupdate new products,Update our GWP/co2 data with new products,"€1,125.00",36 Hours Per Year,€0.00,document,Assessment,Not Started,Local,09/19/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-qss-gwpupdate-new-products,Christoffer SLOTH,"Christoffer SLOTH, Lars Christensen"
DENMARK,Quality,DEN-QSS-monthly co2 update,Collect data from websites to update electricty and solarpower data. Required data for delivery to group,€375.00,12 Hours Per Year,€0.00,Electricity Report.xlsx,Assessment,Not Started,Local,09/19/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-qss-monthly-co2-update,Christoffer SLOTH,"Christoffer SLOTH, Lars Christensen"
POLAND,Customer Service PL,POL - CC  Sending signed double delivery notes with invoices to the customers,"We want to reduce the time and errors associated with agents' manual work. We collect signed delivery notes in paper version, scan them and sent to the customer with the invoice. This manual work has an impact for customer's debts in our company. Customers don't pay an invoices without the delivery notes. They don't accept POD from the SITI. ","€30,000.00",960 Hours Per Year,€0.00,Providing signed delivery documents with invoices.docx,Assessment,Not Started,"Local, and maybe Group",09/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/pol---cc--sending-signed-duble-delivery-notes-with-invoices-to-the-customers,Justyna Kowalik,Justyna Kowalik
DENMARK,Marketing,DEN-MKT-Washroom offer calculation tool,"To better be able to track data and target offers on washwoom to different type of customers. Where all types of washroom product details are gathered, so we can easily switch between good/better/best product but also look at price pr meter of toiletpaper and know the grammage of the paper, number of ply and relate that directly to number of employees in  company - adding different service levels as well. So including prices or option to price the offer",€0.00,0 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",09/18/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/washroom-offer-calculation-tool,Eva Bech LYNGGAARD,"Eva Bech LYNGGAARD, Lars Christensen"
SWEDEN,Customer Unique Specialist,SWE - CS - Nespresso Subscription Orders,Create Nespresso subscription orders,€0.00,0 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/17/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---nespresso-subscription-orders,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - CS - Email updated Order Confirmation,Notify customers with new update order confirmation when delivery dates changes.,"€15,000.00",480 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/17/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---email-updated-order-confirmation,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - CS - Nespresso Spare Part Price Update,Schedule a bot to download the latest Nespresso Spare Part Price list and update the materials in SAP.  ,"€4,875.00",156 Hours Per Year,€0.00,Business Case.docx,Idea,Awaiting Review,Local,09/17/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---nespresso-spare-part-price-update,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - CS - 48h Email Reminder to close Saleforce case,"Email a reminder to respond to our previous email or else the Saleforce case will be closed. 
Also close the case if 48h has passed.","€15,000.00",480 Hours Per Year,€0.00,document,Idea,Awaiting Review,Local,09/17/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---48h-email-reminder-to-close-saleforce-case,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - CS - Customer Initiated Return,"To automate the whole process of customer initiated returns.
Fetching all the active cases in Saleforce
The actual SAP order
Sending parcel documentation to the customer","€41,250.00",1320 Hours Per Year,€0.00,document,Qualification,Approved,Local,09/17/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---customer-initiated-return,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
SWEDEN,Customer Unique Specialist,SWE - CS - OCR Read Manual Order,Use OCR to read purchase order in PDF format from customers. Huge time saver.,"€45,000.00",1440 Hours Per Year,€0.00,document,Live,In Production,Local,09/17/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/swe---cs---ocr-read-manual-order,SVÄRD Peter,"SVÄRD Peter, Johan SIEDBERG"
DENMARK,MARKETING,DEN-SAL-Pricelists,It would be great with international pricelists for common customers across Lyreco SUBS,"€7,500.00",240 Hours Per Year,€0.00,document,Assessment,Not Started,"Local, and maybe Group",09/16/2024,https://cloud.uipath.com/lyrecomanagement/DefaultTenant/automationhub_/automation-profile/den-sal-pricelists,Lars Christensen,"Lars Christensen, Ghita GRAND"
